<INFO> financialDB_operations_logger [2022-02-04 15:59:23,975]: Net Income data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:24,085]: Operating Expense data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:24,196]: Operating Profit data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:24,302]: Revenue data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:24,415]: Total Expenses data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:24,525]: Gross Dividend Payout per Share data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:24,636]: Outstanding Shares data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:24,745]: Share Unit Price data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:24,854]: Trade Debtors data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:24,974]: Trade Creditors data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:25,097]: Sales data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:25,194]: Cash and Cash Equivalent data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:25,294]: Free Cash Flow data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:25,393]: Net Cash Flow from Financing data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:25,493]: Net Cash Flow from Investing data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:25,592]: Net Cash Flow from Operations data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:25,691]: Current Assets data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:25,800]: Current Liabilities data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:25,900]: Fixed Assets data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:26,045]: Intangible Assets data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:26,143]: Shareholders Equity data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:26,263]: Stock Inventory data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:26,372]: Total Assets data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:26,493]: Total Debt data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:26,618]: Total Liabilities data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:26,724]: Amortization data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:26,857]: Cost of Goods Sold data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:26,993]: Depreciation data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:27,119]: Interest Expense data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:27,240]: Net Income data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:27,337]: Operating Expense data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:27,549]: Operating Profit data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:27,646]: Revenue data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:27,748]: Total Expenses data for 2018 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:27,853]: Rows inserted > companies: 145
<INFO> financialDB_operations_logger [2022-02-04 15:59:27,853]: ~~~ End of financial statement insertion script ~~~
<INFO> financialDB_operations_logger [2022-02-04 16:31:50,448]: Cash and Cash Equivalent data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:50,567]: Free Cash Flow data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:50,650]: Net Cash Flow from Financing data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:50,739]: Net Cash Flow from Investing data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:50,816]: Net Cash Flow from Operations data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:50,903]: Gross Dividend Payout per Share data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:50,991]: Outstanding Shares data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:51,090]: Share Unit Price data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:51,187]: Interest Expense data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:51,309]: Interest Income data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:51,429]: Net Income data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:51,562]: Non-Interest Income data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:51,672]: Operating Profit data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:51,782]: Revenue data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:51,898]: Non-Interest Expense data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:52,024]: Operating Revenue data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:52,112]: Depreciation data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:52,255]: Common Equity Tier 1 Capital data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:52,354]: Risk Weighted Assets data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:52,463]: Tier 1 Capital data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:52,574]: Tier 2 Capital data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:52,722]: Current Accounts Deposit data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:52,826]: Savings Accounts Deposit data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:52,956]: Amortization data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:53,071]: Current Assets data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:53,188]: Current Liabilities data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:53,301]: Gross Loans and Acceptance data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:53,420]: Provision for Credit Loss data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:53,535]: Total Non-Performing Assets data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:53,651]: Total Expenses data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:53,766]: Intangible Assets data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:53,860]: Shareholders Equity data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:53,955]: Total Assets data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:54,068]: Total Deposits data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:54,187]: Total Liabilities data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 16:31:54,303]: Operating Expense data for 2022 not found, inserting data as new entry
